Kalkış-Varış;Tarife Fiyatı;Tarife İndirimli;KM;Fiyat/KM
İstanbul Anadolu - Marmaris;2250;1575;808;2,78
İstanbul Anadolu - M.Kemal Paşa;1410;987;326;4,33
İstanbul Anadolu - Muş;2880;2016;1451;1,98
İstanbul Anadolu - Nazilli;1840;1288;665;2,77
Göreme - İstanbul Anadolu;1695;1186,5;728;2,33
İstanbul Anadolu - Nevşehir;1695;1186,5;728;2,33
İstanbul Anadolu - Ürgüp;1695;1186,5;749;2,26
İstanbul Anadolu - Niğde;1640;1148;800;2,05
İstanbul Anadolu - Nizip;1980;1386;1150;1,72
İstanbul Anadolu - Of;2260;1582;1112;2,03
İstanbul Anadolu - Ordu;1920;1344;884;2,17
Fatsa - İstanbul Anadolu;1865;1305,5;844;2,21
İstanbul Anadolu - Ünye;1865;1305,5;823;2,27
Düziçi - İstanbul Anadolu;1865;1305,5;1069;1,74
İstanbul Anadolu - Payas;2260;1582;1064;2,12
İstanbul Anadolu - Perşembe;1920;1344;887;2,16
Ardeşen - İstanbul Anadolu;2430;1701;1184;2,05
Çayeli - İstanbul Anadolu;2260;1582;1158;1,95
İstanbul Anadolu - Pazar;2260;1582;1175;1,92
İstanbul Anadolu - Samsun;1695;1186,5;729;2,33
İstanbul Anadolu - Sarayköy;1530;1071;617;2,48
İstanbul Anadolu - Sarıkaya;1580;1106;745;2,12
İstanbul Anadolu - Sarımsaklı;1370;959;504;2,72
İstanbul Anadolu - Seferihisar;2090;1463;630;3,32
İstanbul Anadolu - Siirt;2320;1624;1519;1,53
Gerze - İstanbul Anadolu;1950;1365;669;2,91
İstanbul Anadolu - Susurluk;1300;910;350;3,71
İstanbul Anadolu - Sürmene;2170;1519;1098;1,98
İstanbul Anadolu - Şanlıurfa;2035;1424,5;1249;1,63
İstanbul Anadolu - Siverek;2430;1701;1313;1,85
Çorlu - İstanbul Anadolu;735;514,5;127;5,79
İstanbul Anadolu - Tekirdağ;735;514,5;152;4,84
İstanbul Anadolu - Tekkeköy;1750;1225;748;2,34
İstanbul Anadolu - Terme;1750;1225;793;2,21
Beşikdüzü - İstanbul Anadolu;2170;1519;1012;2,14
İstanbul Anadolu - Trabzon;2170;1519;1062;2,04
İstanbul Anadolu - Vakfıkebir;2170;1519;1016;2,14
İstanbul Anadolu - Uşak;1470;1029;494;2,98
Erciş - İstanbul Anadolu;2880;2016;1506;1,91
İstanbul Anadolu - Yıldızeli;1980;1386;845;2,34
Akdağmadeni - İstanbul Anadolu;1865;1305,5;770;2,42
Çandır - İstanbul Anadolu;1580;1106;790;2
İstanbul Anadolu - Yozgat;1580;1106;666;2,37
İstanbul Anadolu - Sorgun;1580;1106;701;2,25
İstanbul Anadolu - Zara;1980;1386;963;2,06
Ereğli_Kdz - İstanbul Anadolu;1190;833;285;4,18
Ereğli_Kdz - İstanbul Anadolu;1190;833;285;4,18
Gökçebey - İstanbul Anadolu;1190;833;387;3,07
İstanbul Anadolu - Zonguldak;1290;903;331;3,9
Bergama - Dinar;1590;1113;382;4,16
Antalya - Bergama;1660;1162;503;3,3
Bergama - Çine;1030;721;266;3,87
Aydın - Bergama;1150;805;229;5,02
Bergama - Kuşadası;960;672;200;4,8
Bergama - Söke;945;661,5;221;4,28
Bergama - Burdur;1300;910;439;2,96
Bergama - Gemlik;1195;836,5;293;4,08
Bergama - Orhangazi;1490;1043;310;4,81
Bergama - Dalaman;1570;1099;415;3,78
Bergama - Fethiye;1740;1218;451;3,86
Bergama - Isparta;1590;1113;441;3,61
Bergama - Bodrum;1385;969,5;353;3,92
Bergama - Köyceğiz;1420;994;388;3,66
Bergama - Milas;1350;945;302;4,47
Bergama - Ortaca;1570;1099;406;3,87
Bergama - M.Kemal Paşa;780;546;188;4,15
Bergama - Sarayköy;1240;868;256;4,84
Bergama - Sarımsaklı;445;311,5;61;7,3
Bergama - Susurluk;660;462;158;4,18
Bergama - Tekirdağ;1350;945;410;3,29
Acıgöl - İzmir;1530;1071;740;2,07
Adana - İzmir;1750;1225;898;1,95
Çay - İzmir;980;686;371;2,64
İzmir - Sultandağı;980;686;391;2,51
Akçaabat - İzmir;2320;1624;1306;1,78
Aksaray - İzmir;1580;1106;688;2,3
Alaplı - İzmir;1860;1302;601;3,09
Altınoluk - İzmir;790;553;198;3,99
Hatay - İzmir;2260;1582;1094;2,07
Alanya - İzmir;1450;1015;578;2,51
İzmir - Kaş;1530;1071;451;3,39
İzmir - Kemer;1440;1008;478;3,01
Antalya - İzmir;1160;812;445;2,61
İzmir - Kumluca;1605;1123,5;479;3,35
İzmir - Manavgat;1350;945;519;2,6
İzmir - Serik;1300;910;482;2,7
Aşkale - İzmir;2540;1778;1408;1,8
Çine - İzmir;555;388,5;163;3,4
Aydın - İzmir;320;224;125;2,56
İzmir - Kuşadası;470;329;96;4,9
İzmir - Söke;465;325,5;117;3,97
Altınova (Ayvalık) - İzmir;640;448;152;4,21
Ayvalık - İzmir;640;448;152;4,21
Gönen - İzmir;1045;731,5;265;3,94
Amasra - İzmir;2200;1540;765;2,88
Beyşehir - İzmir;1470;1029;526;2,79
Bucak - İzmir;1050;735;427;2,46
Burdur - İzmir;1060;742;381;2,78
Ceyhan - İzmir;1810;1267;948;1,91
Biga - İzmir;1200;840;333;3,6
Çan - İzmir;1180;826;292;4,04
Çarşamba - İzmir;2035;1424,5;1032;1,97
Çorum - İzmir;1640;1148;825;1,99
İzmir - Sungurlu;1640;1148;752;2,18
Dalaman - İzmir;905;633,5;311;2,91
Çivril - İzmir;1120;784;267;4,19
Denizli - İzmir;660;462;219;3,01
Dörtyol - İzmir;2260;1582;1002;2,26
Eğirdir - İzmir;1060;742;415;2,55
Ereğli_Konya - İzmir;1245;871,5;694;1,79
Ereğli_Konya - İzmir;1245;871,5;694;1,79
Erzin - İzmir;2260;1582;1015;2,23
Erzincan - İzmir;1920;1344;1275;1,51
Erzurum - İzmir;2540;1778;1467;1,73
Eynesil - İzmir;2260;1582;1262;1,79
Fethiye - İzmir;970;679;348;2,79
Finike - İzmir;1370;959;465;2,95
Bulancak - İzmir;2260;1582;1173;1,93
Giresun - İzmir;2260;1582;1188;1,9
İzmir - Tirebolu;2260;1582;1232;1,83
Görele - İzmir;2260;1582;1248;1,81
İzmir - Kırıkhan;2260;1582;1075;2,1
Isparta - İzmir;1060;742;383;2,77
İzmir - Yalvaç;1190;833;466;2,55
İmranlı - İzmir;2090;1463;1128;1,85
İskenderun - İzmir;2260;1582;1030;2,19
İstanbul Avrupa - İzmir;1610;1127;557;2,89
İstanbul Avrupa - İzmir;1610;1127;558;2,89
İstanbul Anadolu - İzmir;1610;1127;560;2,88
İzmir - Kalkan;1500;1050;451;3,33
İzmir - Karacabey;960;672;257;3,74
İzmir - Karapınar;1300;910;644;2,02
Araç - İzmir;2200;1540;793;2,77
İzmir - Kayseri;2260;1582;845;2,67
İzmir - Keşap;2260;1582;1202;1,88
İzmir - Kırıkkale;1360;952;659;2,06
İzmir - Lüleburgaz;1920;1344;547;3,51
İzmir - Kırklareli;2000;1400;565;3,54
Gebze - İzmir;1530;1071;497;3,08
Akşehir - İzmir;1130;791;419;2,7
Ilgın - İzmir;1190;833;461;2,58
İzmir - Konya;1410;987;550;2,56
İzmir - Küçükkuyu;870;609;259;3,36
İzmir - Mercan;1920;1344;1370;1,4
İzmir - Merzifon;1865;1305,5;887;2,1
Bodrum - İzmir;790;553;249;3,17
Datça - İzmir;1125;787,5;344;3,27
İzmir - Köyceğiz;870;609;284;3,06
İzmir - Marmaris;835;584,5;277;3,01
İzmir - Muğla;710;497;225;3,16
İzmir - Milas;690;483;198;3,48
İzmir - Ortaca;905;633,5;302;3
İzmir - Yatağan;740;518;201;3,68
İzmir - Nazilli;515;360,5;171;3,01
Göreme - İzmir;1530;1071;765;2
Avanos - İzmir;1530;1071;783;1,95
İzmir - Nevşehir;1530;1071;765;2
İzmir - Niğde;1640;1148;784;2,09
İzmir - Ordu;2150;1505;1143;1,88
Fatsa - İzmir;2090;1463;1103;1,89
İzmir - Ünye;2090;1463;1083;1,93
İzmir - Payas;2260;1582;1011;2,24
İzmir - Perşembe;2150;1505;1146;1,88
İzmir - Piraziz;2260;1582;1165;1,94
İzmir - Polatlı;1190;833;500;2,38
İzmir - Samsun;1980;1386;988;2
İzmir - Kavak;1920;1344;948;2,03
İzmir - Sarayköy;660;462;198;3,33
İzmir - Sarıkaya;2260;1582;877;2,58
Gerze - İzmir;2630;1841;983;2,68
İzmir - Sivas;2090;1463;1026;2,04
İzmir - Şarkışla;2260;1582;957;2,36
İzmir - Şarkikaraağaç;1190;833;469;2,54
Çorlu - İzmir;1920;1344;542;3,54
İzmir - Tekkeköy;2035;1424,5;1007;2,02
İzmir - Tercan;1920;1344;1370;1,4
İzmir - Terme;2035;1424,5;1052;1,93
Beşikdüzü - İzmir;2320;1624;1272;1,82
İzmir - Trabzon;2320;1624;1322;1,75
İzmir - Vakfıkebir;2320;1624;1275;1,82
İzmir - Uşak;640;448;208;3,08
İzmir - Yerköy;1695;1186,5;768;2,21
İzmir - Yıldızeli;2090;1463;977;2,14
Akdağmadeni - İzmir;1865;1305,5;903;2,07
Boğazlıyan - İzmir;2260;1582;860;2,63
İzmir - Yozgat;1750;1225;799;2,19
İzmir - Sorgun;1920;1344;834;2,3
İzmir - Zara;2090;1463;1094;1,91
İzmir - Kozlu;2020;1414;654;3,09
Acıgöl - Selçuk;1695;1186,5;756;2,24
Selçuk - Sultandağı;1130;791;407;2,78
Alaplı - Selçuk;2790;1953;677;4,12
Aşkale - Selçuk;2880;2016;1436;2,01
Kuşadası - Selçuk;305;213,5;20;15,25
Selçuk - Söke;425;297,5;42;10,12
Amasra - Selçuk;3080;2156;840;3,67
Selçuk - Yeniçağa;2680;1876;706;3,8
Çorum - Selçuk;1750;1225;872;2,01
Selçuk - Sungurlu;1640;1148;800;2,05
Düzce - Selçuk;2460;1722;622;3,95
Erzincan - Selçuk;2540;1778;1304;1,95
Gölcük - Selçuk;2320;1624;506;4,58
İmranlı - Selçuk;2430;1701;1157;2,1
İstanbul Avrupa - Selçuk;2010;1407;633;3,18
İstanbul Avrupa - Selçuk;2010;1407;633;3,18
İstanbul Anadolu - Selçuk;2020;1414;635;3,18
Karamürsel - Selçuk;2320;1624;487;4,76
Kırıkkale - Selçuk;1410;987;706;2
Gebze - Selçuk;1900;1330;573;3,32
Mercan - Selçuk;2540;1778;1399;1,82
Merzifon - Selçuk;2035;1424,5;935;2,18
Bodrum - Selçuk;760;532;174;4,37
Milas - Selçuk;650;455;123;5,28
M.Kemal Paşa - Selçuk;1420;994;314;4,52
Göreme - Selçuk;1695;1186,5;780;2,17
Polatlı - Selçuk;1245;871,5;548;2,27
Sakarya - Selçuk;2320;1624;558;4,16
Samsun - Selçuk;2150;1505;1036;2,08
Kavak - Selçuk;2150;1505;996;2,16
Şarkışla - Selçuk;2370;1659;973;2,44
Selçuk - Susurluk;1420;994;285;4,98
Selçuk - Tercan;2540;1778;1399;1,82
Selçuk - Uşak;1115;780,5;256;4,36
Selçuk - Yalova;1980;1386;459;4,31
Selçuk - Yıldızeli;2430;1701;1024;2,37
Akdağmadeni - Selçuk;2370;1659;950;2,49
Boğazlıyan - Selçuk;2420;1694;876;2,76
Selçuk - Yozgat;2200;1540;847;2,6
Selçuk - Sorgun;2200;1540;882;2,49
Selçuk - Zara;2430;1701;1123;2,16
Gökçebey - Selçuk;2680;1876;791;3,39
Kozlu - Selçuk;2900;2030;730;3,97
İstanbul Avrupa - İznik;1190;833;200;5,95
İstanbul Avrupa - İznik;1190;833;200;5,95
İstanbul Anadolu - İznik;1075;752,5;202;5,32
Gebze - İznik;900;630;140;6,43
Çay - Kadirli;1530;1071;627;2,44
Afyon - Kadirli;1530;1071;678;2,26
Kadirli - Sultandağı;1530;1071;607;2,52
Bandırma - Kadirli;2260;1582;1075;2,1
Banaz - Kadirli;1640;1148;758;2,16
Bozüyük - Kadirli;1640;1148;852;1,92
Bolu - Kadirli;1920;1344;749;2,56
İnegöl - Kadirli;1865;1305,5;911;2,05
Bursa - Kadirli;1865;1305,5;957;1,95
Ceyhan - Kadirli;600;420;61;9,84
Biga - Kadirli;2540;1778;1145;2,22
Çanakkale - Kadirli;2540;1778;1237;2,05
Kadirli - Lapseki;2540;1778;1204;2,11
Düzce - Kadirli;1920;1344;796;2,41
Ereğli_Konya - Kadirli;1075;752,5;306;3,51
Ereğli_Konya - Kadirli;1075;752,5;306;3,51
İstanbul Avrupa - Kadirli;1920;1344;1011;1,9
İstanbul Avrupa - Kadirli;1920;1344;1012;1,9
İstanbul Anadolu - Kadirli;1920;1344;1013;1,9
İzmir - Kadirli;1810;1267;998;1,81
Kadirli - Karacabey;2260;1582;1035;2,18
Kadirli - Karapınar;1190;833;357;3,33
Gebze - Kadirli;1920;1344;951;2,02
Kadirli - Kocaeli;1920;1344;902;2,13
Akşehir - Kadirli;1360;952;583;2,33
Ilgın - Kadirli;1360;952;537;2,53
Kadirli - Konya;1245;871,5;460;2,71
Kadirli - Kütahya;1640;1148;775;2,12
Kadirli - Kula (TR);1810;1267;866;2,09
Kadirli - Salihli;1810;1267;912;1,98
Kadirli - Turgutlu;1810;1267;952;1,9
Kadirli - Sakarya;1920;1344;868;2,21
Kadirli - Uşak;1640;1148;790;2,08
Adana - Kahramanmaraş;735;514,5;196;3,75
Kahramanmaraş - Kahta;725;507,5;198;3,66
Adıyaman - Kahramanmaraş;725;507,5;163;4,45
Dinar - Kahramanmaraş;1980;1386;840;2,36
Akçaabat - Kahramanmaraş;1980;1386;730;2,71
Ankara - Kahramanmaraş;1750;1225;578;3,03
Hatay - Kahramanmaraş;735;514,5;177;4,15
Araklı - Kahramanmaraş;1980;1386;742;2,67
Didim - Kahramanmaraş;2540;1778;1166;2,18
Batman - Kahramanmaraş;1410;987;466;3,03
Beyşehir - Kahramanmaraş;1865;1305,5;654;2,85
Ceyhan - Kahramanmaraş;735;514,5;152;4,84
Çankırı - Kahramanmaraş;1980;1386;606;3,27
Denizli - Kahramanmaraş;2320;1624;950;2,44
Diyarbakır - Kahramanmaraş;1190;833;367;3,24
Dörtyol - Kahramanmaraş;735;514,5;147;5
Eğirdir - Kahramanmaraş;2320;1624;769;3,02
Elazığ - Kahramanmaraş;1470;1029;321;4,58
Erdemli - Kahramanmaraş;850;595;313;2,72
Ereğli_Konya - Kahramanmaraş;1640;1148;402;4,08
Ereğli_Konya - Kahramanmaraş;1640;1148;402;4,08
Erzincan - Kahramanmaraş;1980;1386;578;3,43
Gölbaşı (Adıyaman) - Kahramanmaraş;620;434;100;6,2
Kahramanmaraş - Kelkit;2090;1463;623;3,35
Gümüşhane - Kahramanmaraş;1865;1305,5;681;2,74
Kahramanmaraş - Kırıkhan;735;514,5;136;5,4
Isparta - Kahramanmaraş;2320;1624;804;2,89
İmranlı - Kahramanmaraş;1410;987;431;3,27
İskenderun - Kahramanmaraş;735;514,5;175;4,2
İstanbul Avrupa - Kahramanmaraş;2320;1624;1025;2,26
Kahramanmaraş - Karabük;1810;1267;767;2,36
Kahramanmaraş - Safranbolu;1810;1267;778;2,33
Kahramanmaraş - Karaman;1750;1225;509;3,44
Araç - Kahramanmaraş;2290;1603;755;3,03
Kahramanmaraş - Kayseri;960;672;256;3,75
Kahramanmaraş - Kırıkkale;1750;1225;501;3,49
Kahramanmaraş - Kırşehir;1530;1071;392;3,9
Gebze - Kahramanmaraş;2320;1624;965;2,4
Kahramanmaraş - Konya;1750;1225;567;3,09
Kahramanmaraş - Silifke;1190;833;362;3,29
Kahramanmaraş - Tarsus;850;595;237;3,59
Kahramanmaraş - Mersin;850;595;265;3,21
Kahramanmaraş - Mut;1640;1148;432;3,8
Kahramanmaraş - Niğde;1530;1071;344;4,45
Kahramanmaraş - Of;2035;1424,5;762;2,67
Düziçi - Kahramanmaraş;495;346,5;96;5,16
Kahramanmaraş - Osmaniye;510;357;105;4,86
Kahramanmaraş - Payas;735;514,5;155;4,74
Kahramanmaraş - Perşembe;2090;1463;589;3,55
Kahramanmaraş - Rize;2035;1424,5;787;2,59
Kahramanmaraş - Sarayköy;2320;1624;966;2,4
Kahramanmaraş - Sarıkaya;1410;987;378;3,73
Kahramanmaraş - Sürmene;1980;1386;748;2,65
Kahramanmaraş - Siverek;1190;833;286;4,16
Kahramanmaraş - Şarkikaraağaç;2090;1463;688;3,04
Kahramanmaraş - Trabzon;1980;1386;727;2,72
Boğazlıyan - Kahramanmaraş;1410;987;341;4,13
Kahramanmaraş - Sorgun;1410;987;421;3,35
Kahramanmaraş - Zara;1410;987;397;3,55
Afyon - Kalkan;1190;833;434;2,74
Kalkan - Sandıklı;1245;871,5;372;3,35
Çavdır - Kalkan;565;395,5;176;3,21
Burdur - Kalkan;960;672;268;3,58
Isparta - Kalkan;1125;787,5;299;3,76
İstanbul Avrupa - Kalkan;2670;1869;863;3,09
İstanbul Anadolu - Kalkan;2670;1869;864;3,09
Kalkan - Keçiborlu;1125;787,5;308;3,65
Gebze - Kalkan;2610;1827;802;3,25
Kalkan - Kocaeli;2820;1974;753;3,75
Kalkan - Kütahya;2380;1666;509;4,68
Kalkan - Polatlı;1360;952;614;2,21
Kalkan - Sakarya;2820;1974;719;3,92
Kalkan - Tefenni;565;395,5;199;2,84
Afyon - Karabük;1290;903;448;2,88
Karabük - Sandıklı;1470;1029;514;2,86
Akçaabat - Karabük;2090;1463;742;2,82
Ankara - Karabük;565;395,5;213;2,65
Alanya - Karabük;1865;1305,5;752;2,48
Karabük - Kemer;2000;1400;773;2,59
Karabük - Kumluca;1980;1386;826;2,4
Araklı - Karabük;2090;1463;788;2,65
Balıkesir - Karabük;1900;1330;563;3,37
Bartın - Karabük;600;420;86;6,98
Bilecik - Karabük;1355;948,5;349;3,88
Bozüyük - Karabük;1355;948,5;378;3,58
Bolu - Karabük;665;465,5;134;4,96
Bucak - Karabük;1580;1106;660;2,39
Gemlik - Karabük;1680;1176;383;4,39
Karabük - Orhangazi;1605;1123,5;371;4,33
Bursa - Karabük;1670;1169;406;4,11
Ceyhan - Karabük;1810;1267;763;2,37
Çarşamba - Karabük;1750;1225;468;3,74
Çaycuma - Karabük;600;420;76;7,89
Denizli - Karabük;2200;1540;670;3,28
Dörtyol - Karabük;1980;1386;818;2,42
Düzce - Karabük;849;594,3;180;4,72
Erfelek - Karabük;1020;714;290;3,52
Erzin - Karabük;1980;1386;831;2,38
Eskişehir - Karabük;1490;1043;429;3,47
Eynesil - Karabük;2035;1424,5;698;2,92
Finike - Karabük;1920;1344;835;2,3
Giresun - Karabük;2035;1424,5;625;3,26
Karabük - Tirebolu;2035;1424,5;668;3,05
Gölcük - Karabük;1050;735;301;3,49
Görele - Karabük;2035;1424,5;685;2,97
Karabük - Kırıkhan;1980;1386;903;2,19
Havza - Karabük;1640;1148;348;4,71
Isparta - Karabük;1530;1071;616;2,48
İskenderun - Karabük;1980;1386;846;2,34
İstanbul Avrupa - Karabük;1130;791;396;2,85
İstanbul Anadolu - Karabük;1130;791;398;2,84
İzmir - Karabük;2030;1421;727;2,79
Araç - Karabük;430;301;66;6,52
Karabük - Keçiborlu;1530;1071;577;2,65
Karabük - Kırıkkale;1360;952;265;5,13
Karabük - Kırklareli;2090;1463;605;3,45
Gebze - Karabük;1095;766,5;336;3,26
Karabük - Kocaeli;1050;735;286;3,67
Karabük - Kütahya;1690;1183;455;3,71
Akhisar - Karabük;1950;1365;648;3,01
Karabük - Manisa;1970;1379;699;2,82
Karabük - Merzifon;1530;1071;323;4,74
Karabük - Mucur;1530;1071;397;3,85
Datça - Karabük;3450;2415;927;3,72
Karabük - M.Kemal Paşa;1900;1330;493;3,85
Karabük - Niğde;1640;1148;550;2,98
Karabük - Of;2150;1505;808;2,66
Karabük - Ordu;1920;1344;579;3,32
Fatsa - Karabük;1865;1305,5;540;3,45
Karabük - Ünye;1865;1305,5;519;3,59
Karabük - Osmancık;1040;728;260;4
Karabük - Payas;1980;1386;826;2,4
Karabük - Perşembe;1920;1344;582;3,3
Karabük - Piraziz;2035;1424,5;602;3,38
Karabük - Polatlı;735;514,5;271;2,71
Karabük - Sakarya;1020;714;252;4,05
Karabük - Samsun;1695;1186,5;425;3,99
Karabük - Kavak;1640;1148;384;4,27
Karabük - Sarayköy;2200;1540;686;3,21
Karabük - Susurluk;1900;1330;518;3,67
Karabük - Sürmene;2090;1463;794;2,63
Çorlu - Karabük;1900;1330;502;3,78
Karabük - Tekkeköy;1750;1225;444;3,94
Karabük - Terme;1750;1225;488;3,59
Karabük - Tosya;930;651;188;4,95
Beşikdüzü - Karabük;2090;1463;708;2,95
Karabük - Trabzon;2090;1463;758;2,76
Karabük - Vakfıkebir;2090;1463;712;2,94
Karabük - Uşak;1860;1302;560;3,32
Karabük - Yalova;1660;1162;351;4,73
Ereğli_Kdz - Karabük;780;546;146;5,34
Ereğli_Kdz - Karabük;780;546;146;5,34
Karabük - Kozlu;505;353,5;106;4,76
Karabük - Zonguldak;505;353,5;101;5
Afyon - Safranbolu;1290;903;460;2,8
Safranbolu - Sandıklı;1470;1029;526;2,79
Akçaabat - Safranbolu;2090;1463;754;2,77
Ankara - Safranbolu;565;395,5;225;2,51
Alanya - Safranbolu;1865;1305,5;764;2,44
Araklı - Safranbolu;2090;1463;800;2,61
Çine - Safranbolu;2670;1869;838;3,19
Safranbolu - Söke;2790;1953;847;3,29
Balıkesir - Safranbolu;1900;1330;574;3,31
Banaz - Safranbolu;1850;1295;540;3,43
Bartın - Safranbolu;600;420;74;8,11
Bilecik - Safranbolu;1355;948,5;360;3,76
Bozüyük - Safranbolu;1355;948,5;389;3,48
Bolu - Safranbolu;665;465,5;145;4,59
Bucak - Safranbolu;1580;1106;671;2,35
Gemlik - Safranbolu;1680;1176;394;4,26
Orhangazi - Safranbolu;1605;1123,5;383;4,19
Bursa - Safranbolu;1670;1169;418;4
Ceyhan - Safranbolu;1810;1267;775;2,34
Biga - Safranbolu;2135;1494,5;600;3,56
Çan - Safranbolu;2910;2037;632;4,6
Çarşamba - Safranbolu;1750;1225;480;3,65
Çaycuma - Safranbolu;600;420;88;6,82
Çivril - Safranbolu;2120;1484;602;3,52
Denizli - Safranbolu;2200;1540;681;3,23
Dörtyol - Safranbolu;1980;1386;830;2,39
Düzce - Safranbolu;849;594,3;192;4,42
Erfelek - Safranbolu;1020;714;283;3,6
Erzin - Safranbolu;1980;1386;842;2,35
Erzurum - Safranbolu;2260;1582;944;2,39
Eskişehir - Safranbolu;1490;1043;441;3,38
Eynesil - Safranbolu;2035;1424,5;710;2,87
Finike - Safranbolu;1920;1344;847;2,27
Giresun - Safranbolu;2035;1424,5;636;3,2
Safranbolu - Tirebolu;2035;1424,5;679;3
Gölcük - Safranbolu;1050;735;312;3,37
Görele - Safranbolu;2035;1424,5;696;2,92
Gümüşhane - Safranbolu;2320;1624;796;2,91
Kırıkhan - Safranbolu;1980;1386;915;2,16
Havza - Safranbolu;1640;1148;359;4,57
Iğdır - Safranbolu;2660;1862;1226;2,17
Isparta - Safranbolu;1530;1071;628;2,44
İskenderun - Safranbolu;1980;1386;858;2,31
İstanbul Avrupa - Safranbolu;1130;791;407;2,78
İstanbul Anadolu - Safranbolu;1130;791;409;2,76
İzmir - Safranbolu;2030;1421;739;2,75
Karamürsel - Safranbolu;1050;735;331;3,17
Kağızman - Safranbolu;2660;1862;1131;2,35
Kars - Safranbolu;2660;1862;1140;2,33
Safranbolu - Taşköprü;620;434;150;4,13
Keçiborlu - Safranbolu;1530;1071;588;2,6
Lüleburgaz - Safranbolu;2020;1414;558;3,62
Kırklareli - Safranbolu;2090;1463;617;3,39
Gebze - Safranbolu;1095;766,5;347;3,16
Kocaeli - Safranbolu;1050;735;298;3,52
Safranbolu - Seydişehir;1750;1225;596;2,94
Kütahya - Safranbolu;1690;1183;466;3,63
Akhisar - Safranbolu;1950;1365;660;2,95
Manisa - Safranbolu;1970;1379;710;2,77
Merzifon - Safranbolu;1530;1071;334;4,58
Datça - Safranbolu;3450;2415;939;3,67
Marmaris - Safranbolu;3210;2247;871;3,69
Milas - Safranbolu;2970;2079;890;3,34
Safranbolu - Yatağan;2730;1911;852;3,2
M.Kemal Paşa - Safranbolu;1900;1330;505;3,76
Nazilli - Safranbolu;2670;1869;756;3,53
Niğde - Safranbolu;1640;1148;561;2,92
Of - Safranbolu;2150;1505;820;2,62
Ordu - Safranbolu;1920;1344;591;3,25
Fatsa - Safranbolu;1865;1305,5;551;3,38
Safranbolu - Ünye;1865;1305,5;530;3,52
Osmancık - Safranbolu;1040;728;272;3,82
Payas - Safranbolu;1980;1386;838;2,36
Perşembe - Safranbolu;1920;1344;594;3,23
Piraziz - Safranbolu;2035;1424,5;613;3,32
Polatlı - Safranbolu;735;514,5;283;2,6
Safranbolu - Sakarya;1020;714;264;3,86
Safranbolu - Samsun;1695;1186,5;436;3,89
Kavak - Safranbolu;1640;1148;396;4,14
Safranbolu - Sarayköy;2200;1540;697;3,16
Safranbolu - Susurluk;1900;1330;529;3,59
Safranbolu - Sürmene;2090;1463;806;2,59
Çorlu - Safranbolu;1900;1330;513;3,7
Safranbolu - Tekkeköy;1750;1225;455;3,85
Safranbolu - Terme;1750;1225;500;3,5
Safranbolu - Torul;2320;1624;774;3
Safranbolu - Tosya;930;651;199;4,67
Beşikdüzü - Safranbolu;2090;1463;719;2,91
Safranbolu - Trabzon;2090;1463;770;2,71
Safranbolu - Vakfıkebir;2090;1463;723;2,89
Safranbolu - Uşak;1860;1302;572;3,25
Safranbolu - Yalova;1660;1162;363;4,57
Ereğli_Kdz - Safranbolu;780;546;158;4,94
Ereğli_Kdz - Safranbolu;780;546;158;4,94
Kozlu - Safranbolu;505;353,5;118;4,28
Safranbolu - Zonguldak;505;353,5;112;4,51
Acıgöl - Karacabey;1750;1225;719;2,43
Çay - Karacabey;1360;952;407;3,34
Karacabey - Sultandağı;1360;952;427;3,19
Akçaabat - Karacabey;2420;1694;1126;2,15
Alanya - Karacabey;1920;1344;734;2,62
Karacabey - Manavgat;1865;1305,5;675;2,76
Karacabey - Serik;1810;1267;639;2,83
Araklı - Karacabey;2420;1694;1172;2,06
Aşkale - Karacabey;2820;1974;1295;2,18
Didim - Karacabey;1350;945;424;3,18
Karacabey - Kuşadası;1480;1036;352;4,2
Karacabey - Söke;1480;1036;374;3,96
Erdek - Karacabey;440;308;63;6,98
Gönen - Karacabey;475;332,5;83;5,72
Bolu - Karacabey;1785;1249,5;344;5,19
Boyabat - Karacabey;2500;1750;679;3,68
Ceyhan - Karacabey;2035;1424,5;985;2,07
Biga - Karacabey;575;402,5;112;5,13
Çan - Karacabey;790;553;145;5,45
Ezine - Karacabey;925;647,5;223;4,15
Karacabey - Yenice (Çanakkale);780;546;133;5,86
Çarşamba - Karacabey;2090;1463;852;2,45
Çorum - Karacabey;1865;1305,5;712;2,62
Karacabey - Sungurlu;1750;1225;640;2,73
Dörtyol - Karacabey;2370;1659;1039;2,28
Düzce - Karacabey;1710;1197;297;5,76
Ereğli_Konya - Karacabey;1530;1071;731;2,09
Ereğli_Konya - Karacabey;1530;1071;731;2,09
Erzincan - Karacabey;2710;1897;1163;2,33
Geyikli - Karacabey;830;581;223;3,72
Bulancak - Karacabey;2320;1624;994;2,33
Karacabey - Tirebolu;2320;1624;1052;2,21
Gölcük - Karacabey;1515;1060,5;181;8,37
Görele - Karacabey;2320;1624;1069;2,17
Karacabey - Kırıkhan;2370;1659;1111;2,13
İskenderun - Karacabey;2370;1659;1067;2,22
İstanbul Avrupa - Karacabey;1290;903;308;4,19
Karacabey - Selçuk;1480;1036;332;4,46
Karacabey - Özdere;1360;952;298;4,56
Karabük - Karacabey;2020;1414;478;4,23
Karacabey - Safranbolu;2020;1414;489;4,13
