Kalkış-Varış;Tarife Fiyatı;Tarife İndirimli;KM;Fiyat/KM
Aksaray - Karabük;1530;1071;446;3,43
Aksaray - Safranbolu;1530;1071;458;3,34
Aksaray - Karacabey;1750;1225;671;2,61
Aksaray - Araç;1920;1344;471;4,08
Aksaray - Kastamonu;1920;1344;428;4,49
Aksaray - Keşap;1980;1386;707;2,8
Aksaray - Lüleburgaz;2150;1505;833;2,58
Aksaray - Kırklareli;2150;1505;891;2,41
Aksaray - Akşehir;1020;714;273;3,74
Aksaray - Ilgın;905;633,5;227;3,99
Aksaray - Kozan;960;672;344;2,79
Aksaray - Kurtalan;2150;1505;879;2,45
Aksaray - Kütahya;1515;1060,5;465;3,26
Aksaray - Kula (TR);1470;1029;556;2,64
Aksaray - Salihli;1580;1106;603;2,62
Aksaray - Turgutlu;1580;1106;643;2,46
Aksaray - Mercan;1580;1106;695;2,27
Aksaray - Tarsus;735;514,5;234;3,14
Aksaray - Mersin;735;514,5;262;2,81
Aksaray - Merzifon;1530;1071;392;3,9
Aksaray - Mucur;680;476;108;6,3
Aksaray - Bodrum;1695;1186,5;786;2,16
Aksaray - Marmaris;1920;1344;724;2,65
Aksaray - Milas;1695;1186,5;743;2,28
Aksaray - Yatağan;1695;1186,5;704;2,41
Aksaray - Nazilli;1470;1029;608;2,42
Aksaray - Göreme;400;280;76;5,26
Aksaray - Avanos;400;280;94;4,26
Aksaray - Nevşehir;400;280;76;5,26
Aksaray - Düziçi;960;672;385;2,49
Aksaray - Payas;1245;871,5;380;3,28
Aksaray - Perşembe;1920;1344;652;2,94
Aksaray - Piraziz;1980;1386;671;2,95
Aksaray - Polatlı;905;633,5;286;3,16
Aksaray - Samsun;1640;1148;494;3,32
Aksaray - Sarayköy;1410;987;550;2,56
Aksaray - Sarıkaya;1130;791;209;5,41
Aksaray - Siirt;2150;1505;909;2,37
Aksaray - Sivas;1360;952;351;3,87
Aksaray - Şarkışla;1300;910;268;4,85
Aksaray - Sürmene;2090;1463;770;2,71
Aksaray - Siverek;1980;1386;702;2,82
Aksaray - Şarkikaraağaç;1020;714;271;3,76
Aksaray - Çorlu;2035;1424,5;788;2,58
Aksaray - Tekirdağ;2150;1505;813;2,64
Aksaray - Tekkeköy;1695;1186,5;513;3,3
Aksaray - Tercan;1580;1106;695;2,27
Aksaray - Turhal;1580;1106;365;4,33
Aksaray - Trabzon;2090;1463;749;2,79
Aksaray - Vakfıkebir;2090;1463;781;2,68
Aksaray - Yerköy;895;626,5;181;4,94
Aksaray - Yıldızeli;1360;952;354;3,84
